"";"Contrassegno";"Riferimento";"Costruttore";"Descrizione";
"1";"+CAXXX.XXXUNC";"SDV4312";"ETA";"CASSA DERIVAZIONE 400X300X120 IN ACCIAIO";
"1";"-CN_CODA2_AF";"W12S/ DT06-12S/ 114017/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ NULL/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 12 VIE P.F./ TAPPO BIANCO DEUTSCH/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_CODA2_AM";"114017/ DT04-12P/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ W12P";"NULL/ Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ Deutsch";"TAPPO BIANCO DEUTSCH/ CONN. VOLANTE 12 VIE P.M.";
"1";"-CN_CODA2_BF";"W6S/ DT06-6S/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONN. DEUTSCH VOLANTE 6VIE P.F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_CODA2_BM";"DT04-6P/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122";"Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 6VIE P.M.";
"1";"-CN_DISPLAY_1";"WM-12S/ DTM06-12SA/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 114017/ 114017/ 114017";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ NULL/ NULL/ NULL";"CONNET. VOLANTE(GY)12p P.F. SIZE 20/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH";
"1";"-CN_DISPLAY_2";"114017/ 114017/ 114017/ 114017/ 114017/ 114017/ 114017/ 114017/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ DTM06-12SB/ WM-12S";"NULL/ NULL/ NULL/ NULL/ NULL/ NULL/ NULL/ NULL/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ CONNET. VOLANTE(BK)12p P.F. SIZE 20";
"1";"-CN_ETHERNET";"CAMRG45-2";"NULL";"PROLUNGA M-M ETHERNET";
"1";"-CN_PRO_AF";"1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ W6S/ DT06-6S";"TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ / CONN. DEUTSCH VOLANTE 6VIE P.F.";
"1";"-CN_PRO_AM";"DT04-6P/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122";"Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 6VIE P.M.";
"1";"-CN_PWT";"DT06-4S/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 4VIE P.F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_USB";"USB";"NULL";"USB 4P F.";
"1";"-XM2-EME_NO";"2002-2211/1000-0410";"Wago";"morsetto con diodo a due piani marcatura centrale con diodo 1 N 4007";
"1";"-XM1-FU1";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM1-FU2";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM1-FU3";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM1-FU4";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM2-TTC.131";"2002-2211/1000-0410";"Wago";"morsetto con diodo a due piani marcatura centrale con diodo 1 N 4007";
"1";"-XM2-TTC.132";"2002-2211/1000-0410";"Wago";"morsetto con diodo a due piani marcatura centrale con diodo 1 N 4007";
"1";"-XM2-TTC.141";"2002-2211/1000-0410";"Wago";"morsetto con diodo a due piani marcatura centrale con diodo 1 N 4007";
"1";"-XM2-TTC.142";"2002-2211/1000-0410";"Wago";"morsetto con diodo a due piani marcatura centrale con diodo 1 N 4007";
"1";"-XM2-TTC.143";"2002-2211/1000-0410";"Wago";"morsetto con diodo a due piani marcatura centrale con diodo 1 N 4007";
"1";"-XM2-TTC.267|TTC.274";"2002-2201";"Wago";"Morsetto a due piani Morsetto passante/passante L/L";
"1";"-CN_CODA2_BM";"W6P";"Deutsch";"";
"1";"-CN_PRO_AM";"W6P";"Deutsch";"";
"1";"-CN_PWT";"W4S";"Deutsch";"";
"1";"-XM2-CAN.H|CAN.L";"2002-2208";"Wago";"Morsetto a due piani Morsetto passante per 4 conduttori L";
"1";"-XM1-FU5";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM1-FU6";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM1-FU7";"2006-1681/1000-434";"WAGO";"MORSETTO PORTAFUSIBILE A LAMA 6mmq";
"1";"-XM2-CAN.H|CAN.L";"2002-2208/ 2002-2208/ 2002-2208";"Wago/ Wago/ Wago";"Morsetto a due piani Morsetto passante per 4 conduttori L/ Morsetto a due piani Morsetto passante per 4 conduttori L/ Morsetto a due piani Morsetto passante per 4 conduttori L";
"1";"-XM2-FLASH";"2002-2201";"Wago";"Morsetto a due piani Morsetto passante/passante L/L";
"1";"-XM2-TTC.268|K15.1";"2002-2201";"Wago";"Morsetto a due piani Morsetto passante/passante L/L";
"1";"-XM2-CAN.H|CAN.L";"2002-2208";"Wago";"Morsetto a due piani Morsetto passante per 4 conduttori L";
"1";"-ASX_CODA2";"ZZ180.250UNC";"NULL";"TRASD. ASX CANBUS PRECABLATO 2m";
"1";"-C_7";"A2-M6";"Cembre";"CAPICORDA SEZ.10 FORO M.6";
"1";"-C_12";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-C_13";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-C_14";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-P_1";"901916";"Cembre";"PUNTALINO BLU SEZ.2,5";
"1";"-P_2";"901916";"Cembre";"PUNTALINO BLU SEZ.2,5";
"1";"-P_3";"901916";"Cembre";"PUNTALINO BLU SEZ.2,5";
"1";"-P_4";"901916";"Cembre";"PUNTALINO BLU SEZ.2,5";
"1";"-PDM_CA_1";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-PDM_CA_2";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-PDM_CA_3";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-PDM_CA_4";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-PDM_CA_5";"A2-M6";"Cembre";"CAPICORDA SEZ.10 FORO M.6";
"1";"-PDM_CA_6";"GF-M5";"Cembre";"CAPICORDA A OCCHIELLO D.5 GIALLO";
"1";"-K_GLOWP";"201005/ 1070004";"Wago/ Wago";"MicroRelè di commutazione  12VDC 30A/ Zoccolo porta MicroRelè";
"1";"-KACC.1";"1070004/ 201005";"Wago/ Wago";"Zoccolo porta MicroRelè/ MicroRelè di commutazione  12VDC 30A";
"1";"-KACC.2";"201005/ 1070004";"Wago/ Wago";"MicroRelè di commutazione  12VDC 30A/ Zoccolo porta MicroRelè";
"1";"-KG";"10700017/ 270240";"Wago/ Wago";"Zoccolo porta Relè automotive/ MicroRelè di commutazione  12VDC 60/70A";
"1";"-KM1";"201005/ 1070004";"Wago/ Wago";"MicroRelè di commutazione  12VDC 30A/ Zoccolo porta MicroRelè";
"1";"-KM1.1";"1070004/ 201005";"Wago/ Wago";"Zoccolo porta MicroRelè/ MicroRelè di commutazione  12VDC 30A";
"1";"-KM1.2";"201005/ 1070004";"Wago/ Wago";"MicroRelè di commutazione  12VDC 30A/ Zoccolo porta MicroRelè";
"1";"-KM1.3";"1070004/ 201005";"Wago/ Wago";"Zoccolo porta MicroRelè/ MicroRelè di commutazione  12VDC 30A";
"1";"-KM2.1";"201005/ 1070004";"Wago/ Wago";"MicroRelè di commutazione  12VDC 30A/ Zoccolo porta MicroRelè";
"1";"-KM2.2";"1070004/ 201005";"Wago/ Wago";"Zoccolo porta MicroRelè/ MicroRelè di commutazione  12VDC 30A";
"1";"-KM2.3";"201005/ 1070004";"Wago/ Wago";"MicroRelè di commutazione  12VDC 30A/ Zoccolo porta MicroRelè";
"1";"-KVIB";"10700017/ 211516";"Wago/ Wago";"Zoccolo porta Relè automotive/ RELE' 12V 50A 1NO V23134-J0052";
"1";"-TTC-94-X1";"52P TTC-94";"TTC";"1393450-5 + 1393454-9";
"1";"-TTC-94-X2";"28P TTC-94";"TTC";"1393454-5 + 1393436-4";
"1";"-TTC-94";"TTC-94";"TTCONTROL";"CENTRALINA TTC";
"1";"-LED_GLOWP";"XVL-A124";"Schneider Electric";"SPIA ROSSA A LED 12V D.8";
"1";"-SEL_MAN";"14112000";"COBO";"BLOC.AVV CHIAVE PRERISC.E30 METAL";
"1";"-SEL_MAN_1";"SEL_2P_FIS_1NO_LD/ ZBVJ4";"NULL/ Schneider Electric";"";
"1";"-SEL_MAN_2";"SEL_2P_FIS_1NO_LD";"NULL";"";
"1";"-SEL_MAN_1";"ZBE101";"Schneider Electric";"";
"1";"-SEL_MAN_2";"ZBVJ3/ ZBE101";"Schneider Electric/ Schneider Electric";"";
"1";"-SEL_MAN_1";"ZB5AZ009/ ZB4BK1243";"Schneider Electric/ Schneider Electric";"";
"1";"-SEL_MAN_2";"ZB4BK1233/ ZB4BZ009";"Schneider Electric/ Schneider Electric";"";
"1";"-CN_PROX3";"XZCP1264L5";"Schneider Electric";"CONN.M12 FEMM.ANGOL.5P BK+CAVO 5mt";
"1";"-PDM_BM";"A5-M6";"Cembre";"CAPICORDA SEZ.25 FORO M.6";
"1";"-CN_ACC";"PRECABL. RD-BK";"NULL";"PRECABLATO ROSSO NERO";
"1";"-FU_G";"01.00360";"MTA";"PORTAFUSIB. FISS. A VITE X MIDIVAL";
"1";"-C_3";"A7-M8";"Cembre";"CAPICORDA SEZ.35 FORO M.8";
"1";"-C_4";"A3-M8";"Cembre";"CAPICORDA SEZ.16 FORO M.8";
"1";"-C_5";"A3-M8";"Cembre";"CAPICORDA SEZ.16 FORO M.8";
"1";"-C_6";"A2-M6";"Cembre";"CAPICORDA SEZ.10 FORO M.6";
"1";"-C_8";"A2-M6";"Cembre";"CAPICORDA SEZ.10 FORO M.6";
"1";"-C_9";"BF-M6";"Cembre";"CAPICORDA A OCCHIELLO BLU D.6";
"1";"-C_10";"A2-M6";"Cembre";"CAPICORDA SEZ.10 FORO M.6";
"1";"-C_11";"A2-M6";"Cembre";"CAPICORDA SEZ.10 FORO M.6";
"1";"-FMOT_1";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_2";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_3";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_4";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_5";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_6";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_7";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_8";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_9";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_10";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_11";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_12";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_13";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_14";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-FMOT_15";"DNF18250B3K";"Panduit";"FASTON FEMM. ROSSO 6,3/ ISOLATO 0,5÷1,5";
"1";"-PDM_MOT_1";"A7-M10";"Cembre";"CAPICORDA SEZ.16 FORO M.10";
"1";"-PDM_MOT_2";"A3-M8";"Cembre";"CAPICORDA SEZ.16 FORO M.8";
"1";"-C_1";"11002 + ZZ150.102UNC/ 11002 + ZZ150.102UNC";"NULL/ NULL";"MORSETTO BATTERIA(+) VITE SEZ.16-50 + COPRIMORSETTO ROSSO 1 FOROxBATTERIA/ MORSETTO BATTERIA(+) VITE SEZ.16-50 + COPRIMORSETTO ROSSO 1 FOROxBATTERIA";
"1";"-C_2";"11102 + ZZ150.103UNC";"NULL";"MORSETTO BATTERIA(-) VITE SEZ.16-50 + COPRIMORSETTO NERO 1 FOROxBATTERIA";
"1";"-G_BATT";"806013";"COPAT";"STACCABATTERIA CON CHIAVE 100A 12-24V";
"1";"-EME_PSB";"XALK178E";"Schneider Electric";"PULSANTIERA ARRESTO EMERGENZA NC+NA";
"1";"-CN_AL1_F";"1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 114017/ DT06-6S/ W6S";"TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ NULL/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TAPPO BIANCO DEUTSCH/ CONN. DEUTSCH VOLANTE 6VIE P.F.";
"1";"-CN_ASX_1";"XZCP1264L5";"Schneider Electric";"CONN.M12 FEMM.ANGOL.5P BK+CAVO 5mt";
"1";"-CN_LEDCODA_1";"DT06-2S/ W2S/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE DEUTSCH 2VIE P.F./ / TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_PROX1";"XZCP1264L5";"Schneider Electric";"CONN. M12 FEMM.ANGOL.5P BK+CAVO 5mt";
"1";"-CN_SALE1";"DT06-4S/ W4S/ 114017/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ NULL/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 4VIE P.F./ / TAPPO BIANCO DEUTSCH/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_AL2_F";"1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 114017/ DT06-6S/ W6S";"TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ NULL/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TAPPO BIANCO DEUTSCH/ CONN. DEUTSCH VOLANTE 6VIE P.F.";
"1";"-CN_LEDCODA_2";"W2S/ DT06-2S/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE DEUTSCH 2VIE P.F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_PROX2";"XZCP1264L5";"Schneider Electric";"CONN.M12 FEMM.ANGOL.5P BK+CAVO 5mt";
"1";"-CN_SALE2";"DT06-4S/ W4S/ 114017/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ NULL/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 4VIE P.F./ / TAPPO BIANCO DEUTSCH/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-EV_1";"ZZ160.107UNC";"NULL";"CONN. EV. 4P PIPETTA BK";
"1";"-EV_2";"281934-1/ 281934-1/ 927775/3/ 927775/3/ 282189-1";"NULL/ NULL/ AMP/ AMP/ TE Connectivity";"GOMMINO PASSACAV.GIALLO X SUPERSEAL/ GOMMINO PASSACAV.GIALLO X SUPERSEAL/ CONTATTO FEMM. JPT SEZ.0,5-1,0 4K/ CONTATTO FEMM. JPT SEZ.0,5-1,0 4K/ CONNETTORE JPT 2 VIE A MOLLA";
"1";"-EV_3";"282189-1/ 927775/3/ 927775/3/ 281934-1/ 281934-1";"TE Connectivity/ AMP/ AMP/ NULL/ NULL";"CONNETTORE JPT 2 VIE A MOLLA/ CONTATTO FEMM. JPT SEZ.0,5-1,0 4K/ CONTATTO FEMM. JPT SEZ.0,5-1,0 4K/ GOMMINO PASSACAV.GIALLO X SUPERSEAL/ GOMMINO PASSACAV.GIALLO X SUPERSEAL";
"1";"-EV_4";"281934-1/ 281934-1/ 927775/3/ 927775/3/ 282189-1";"NULL/ NULL/ AMP/ AMP/ TE Connectivity";"GOMMINO PASSACAV.GIALLO X SUPERSEAL/ GOMMINO PASSACAV.GIALLO X SUPERSEAL/ CONTATTO FEMM. JPT SEZ.0,5-1,0 4K/ CONTATTO FEMM. JPT SEZ.0,5-1,0 4K/ CONNETTORE JPT 2 VIE A MOLLA";
"1";"-CN_BLDX_F";"DT06-2S/ W2S/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE DEUTSCH 2VIE P.F./ / TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_BLSX_F";"1062-16-0122/ 1062-16-0122/ W2S/ DT06-2S";"TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ / CONNET.VOLANTE DEUTSCH 2VIE P.F.";
"1";"-CN_GAL";"DT06-2S/ W2S/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE DEUTSCH 2VIE P.F./ / TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_GFDX_F";"1062-16-0122/ 1062-16-0122/ W2S/ DT06-2S";"TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ / CONNET.VOLANTE DEUTSCH 2VIE P.F.";
"1";"-CN_GFSX_F";"DT06-2S/ W2S/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE DEUTSCH 2VIE P.F./ / TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_VIB_F_DX";"1062-16-0122/ 1062-16-0122/ W2S/ DT06-2S";"TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ / CONNET.VOLANTE DEUTSCH 2VIE P.F.";
"1";"-CN_VIB_F_SX";"DT06-2S/ W2S/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE DEUTSCH 2VIE P.F./ / TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";